name,esc,TDS,capacity,borefld,layer,row,col,jul,aug,sept,oct,nov,dec,jan,feb,mar,apr,may,jun,allocation
M10,3,298,1.8,mirrabooka,3,290,158,0.0294,0.1357,0.0698,0.0408,0,0.1749,0.2011,0.0505,0.0408,0.1792,0.0777,0,875
M100,3,290.67,1.8,mirrabooka,3,287,160,0.0012,0.0913,0.0938,0.1076,0.0668,0.1295,0.1089,0.115,0.0844,0.1105,0.0909,0,75
M110,3,427.5,1.8,mirrabooka,3,286,162,0,0.149,0.1854,0.2602,0.0386,0,0.2036,0.0245,0.1371,0.0011,0.0005,0.0001,50
M115,2,605.5,2.3,mirrabooka,7,286,162,0.001,0.0666,0.076,0.1004,0.1002,0.1003,0.0957,0.0714,0.098,0.098,0.098,0.0944,2300
M120,3,573.17,1.8,mirrabooka,3,286,164,0,0.0296,0.0021,0.2962,0.2103,0,0.2086,0.1072,0.1459,0,0,0,50
M130,2,379.8,0.05,mirrabooka,3,286,165,0.004,0.0591,0.0078,0.1399,0.1076,0.1362,0.1115,0.1057,0.0367,0.0979,0.1336,0.0599,50
M15,3,423.33,5.5,mirrabooka,7,290,158,0.0165,0.0602,0.0963,0.0964,0.096,0.0958,0.0914,0.0914,0.0911,0.0912,0.0888,0.0849,2425
M182,2,261,0.05,mirrabooka,4,286,175,0.1135,0.3553,0,0,0,0.1537,0.0234,0.3296,0.0175,0.007,0,0,50
M20,3,308.6,1.8,mirrabooka,3,290,159,0.0012,0.004,0.0583,0.088,0.1137,0.1104,0.1002,0.111,0.1123,0.1046,0.1028,0.0934,170
M200,3,296.25,1.8,mirrabooka,3,283,158,0.008,0.145,0.1531,0,0.159,0.0328,0.2027,0.2551,0.0115,0.029,0.0039,0,50
M210,3,386.2,1.8,mirrabooka,3,283,162,0,0.1182,0.1013,0.0328,0.1149,0.1749,0.1745,0.1744,0.0193,0.0873,0.0025,0,100
M220,2,306.67,0.05,mirrabooka,3,283,164,0,0,0,0.1903,0.0891,0.132,0.1115,0.2197,0.1077,0.1377,0.012,0,50
M27,3,409.71,1.8,mirrabooka,3,290,165,0,0,0.0654,0.097,0.0584,0.1197,0.1135,0.119,0.1162,0.1163,0.1022,0.0921,150
M295,2,730,0.725,mirrabooka,7,283,175,0,0.1224,0.0922,0,0,0.0708,0.1904,0.1199,0.1867,0.176,0.025,0.0166,725
M305,2,785.83,0.725,mirrabooka,7,279,158,0.0072,0.1531,0.1482,0.1258,0.2104,0.0355,0.2002,0.1125,0.0071,0,0,0,725
M310,3,357,1.8,mirrabooka,3,279,162,0.0415,0.1698,0.1534,0.2195,0.1331,0,0.1061,0.0019,0.1436,0.0311,0,0,50
M34,3,232.5,1.8,mirrabooka,3,292,161,0.0106,0.0548,0.1585,0.4263,0.0363,0.3122,0.001,0,0,0.0001,0.0002,0,405
M345,2,1292,0,mirrabooka,7,279,167,0,0.1224,0.0922,0,0,0.0708,0.1904,0.1199,0.1867,0.176,0.025,0.0166,0
M35,3,340.33,1.8,mirrabooka,3,291,161,0.0247,0.0446,0.0477,0,0,0.0953,0.1357,0.1405,0.1054,0.1349,0.1357,0.1354,130
M40,2,250.83,0.05,mirrabooka,3,290,167,0,0,0,0,0.7036,0,0,0.2178,0.0786,0,0,0,50
M410,3,331.4,1.8,mirrabooka,3,286,161,0.0004,0.1025,0.1546,0.1019,0.1406,0.1394,0.069,0.0332,0.1005,0.1186,0.0392,0,100
M50,2,256.4,0.05,mirrabooka,3,290,167,0,0,0,0,0.3612,0.3702,0.1655,0,0.083,0.02,0.0001,0,50
M500,3,254.83,1.8,mirrabooka,3,291,155,0.001,0.0496,0.0284,0.0903,0.1055,0.1118,0.1068,0.1063,0.0954,0.104,0.1022,0.0985,400
M510,3,261,1.8,mirrabooka,3,292,155,0.005,0.0509,0.1363,0.0024,0,0.1795,0.0126,0,0.1423,0.1489,0.1288,0.1933,600
M520,3,240.67,1.8,mirrabooka,3,291,152,0.0013,0.0179,0.1133,0.1021,0.0812,0.0607,0.0414,0.1113,0.1174,0.1362,0.1193,0.0976,650
M530,3,250.67,1.8,mirrabooka,3,292,152,0.0009,0,0,0.1152,0.1369,0.1304,0.1191,0.1183,0.1082,0.1093,0.0947,0.067,400
M540,3,257.6,1.8,mirrabooka,3,293,153,0.0043,0.0905,0.0841,0.1278,0.1207,0.1439,0.1398,0.1364,0,0,0.0075,0.1451,650
M550,3,349.67,1.8,mirrabooka,3,291,150,0.0072,0.0485,0.0817,0.0074,0.1363,0.1233,0.107,0.1231,0.0964,0.0058,0.1399,0.1234,750
