real_name,m10,m100,m110,m115,m120,m130,m15,m182,m20,m200,m210,m220,m27,m295,m305,m310,m34,m345,m35,m40,m410,m50,m500,m510,m520,m530,m540,m550,m560,m570,m580,m90,w10,w15,w17,w20,w25,w255,w257,w260,w270,w275,w280,w30,w310,w320,w40,w50,w55,w57,w70,w85,w290,w300,w305,w60,p17,p25,p65,p97,p105,p145,g10,g110,g115,g12,g120,g125,g130,g135,g140,g150,g160,g165,g175,g20,g60,g65,g80,tr4,tr5,tr6,tr7,yb3,yb4,yb90,b2,bp2,g17,g27,g7,l5,m2,mr17,w7,y1,y2,q10,q110,q120,q130,q137,q140,q145,q150,q155,q165,q170,q180,q190,q20,q200,q205,q30,q35,q40,q50,q60,wt15,wt25,wt40,wt45,wt5,wt50,wt60,wt7,wt70,wt80,wt90,wt97,eg10,eg40,eg50
gen=1799_member=9813_pso,76.82899134615194,15.64703826184246,20.116034958778684,2300,42.33550304058021,50,224.34783122435948,50,137.82962899369753,23.01358169511832,7.476874597747383,50,47.34797547999405,725,725,17.3289744264738,225.91781755581,0,159.53511801078656,50,146.89877488395823,50,131.17923879903168,32.361445390815014,333.34117460669995,775.5402326257793,717.4605545676537,89.53412226183056,912.7168739572624,141.88372805044287,525.0843572296238,119.99002679796848,8.224527366940366,460.4428873735707,5659.9594431572095,55.37930912162315,1.3517735647303937,299.93054163220296,4475,200,64.22825891932291,1315,81.77285685165198,8.420585031321652,100,100,7.474886507421821,16.798266337786593,16.588000861945567,500,40.3221212602783,500,100,100,200,3.87510241672732,400,200,200,400,200,200,80.39449310182222,1524.0360216725487,757.441228282811,280.313376332226,1328.2879737610856,522.0300282479351,1778.7158171933531,912.2212212866287,1699.0743157968038,50,50,260.6170004230803,62.21442813394584,292.10747210147457,1658.134309923916,649.438410176389,1310.1570195328939,361.2319451839981,407.74000747624336,47.82152023802302,75.56028213037617,50,50,110,2542.790328334957,3012.3402173679724,6510.026427310425,2987.71676114546,3395.4072666317147,394.65049599534376,4520.669405938662,698.2982428490911,5301.121798038356,6644.198247194112,1827.00437595812,731.8769667323837,836.406098803895,1544.6114722891407,1398.6020718030395,1339.1679657228783,1024.676908981738,200,505.5801995171087,350,500,100,100,150,1223.359372564652,100,200,1352.8441893047864,5.464434635581167,0,40.16651067071388,1720.188002360941,95.54678481579384,180.52653649898727,1039.2970117758516,580.9265074008318,445.87814652982274,1548.1323184859468,545.5049802630708,6466.381600076687,254.9512088956536,19.34732277822076,1629.244794903697,6321.603886928368,1253.2111704579,1574.2058579874447,1433.8681992617087
gen=1900_restart=2,134.1187440176421,87.13050361575726,37.18279532483399,2300,61.86901852230369,50,868.0466954001514,50,117.73522559373968,27.50181373403217,45.42079978525186,50,128.2629334793835,725,725,13.125493562166582,219.09295510993329,0,199.27415844569697,50,41.7507342576418,50,131.10368212141003,118.22676542939234,170.79176689534324,845.5994487853005,847.6156009161483,226.11962418731417,635.4633182957868,128.31832595913994,841.1967561678366,67.25275116838503,23.728515260535744,907.2663363181288,4165.835043171157,21.443653184074662,296.32006481019937,532.4914826219264,4475,200,41.50550971501974,1315,28.13111969242096,22.865298047834127,100,100,37.0748055759509,16.96950421497968,161.60952818282078,500,58.90066579739704,500,100,100,200,20.121016479780728,400,200,200,400,200,200,219.37902610919264,1647.0740517204908,674.8595645897004,383.6791352225356,858.4602991446187,1774.749600047219,688.98692866343,2644.5264792128446,1155.7360559784076,50,50,392.64754333399,486.63674006474906,264.5416199319912,1603.4314814019567,729.0154680237017,1032.9607666845316,238.5324807912729,343.35345204987806,53.83287577254694,99.50466267468238,50,50,110,3254.42178647908,2842.950530007212,4827.132292631991,3240.86513971462,4832.502061930172,1205.5821484847445,4807.4202055805445,1312.0148834854242,5729.711173067753,3936.792144645796,1973.6941721993016,580.132962670112,1081.6495990646551,1146.613570273827,1185.038997932853,985.0922457963763,809.9682062271139,200,974.358955430092,350,500,100,100,150,1016.8508303183906,100,200,1335.268800386611,855.044581587471,0,1269.4326320096677,1474.3641332899858,381.3672786122818,630.8043963253907,856.2863473263128,717.45880492414,339.73862864282194,1428.2673829548717,571.6552914613267,4921.824825917472,561.7670634574383,212.04807111419183,1113.5413492105015,5704.411294887999,1536.589332862835,622.1152014724886,1393.7910508701043
gen=1900_restart=3,237.14401873748008,129.48021190066174,46.07942096680841,2300,55.53254549065966,50,1514.3539808687196,50,363.7116767655076,34.06110262975335,36.23841252974364,50,160.82570356226572,725,725,48.11564688847272,527.3766164420505,0,103.02180071895104,50,75.59204256593011,50,142.5586551440282,255.47315941201563,395.0396119094718,756.4225188954166,669.9364904113473,360.5031984537513,200.19101520697893,208.6362451103792,743.3967571527971,245.24414779089983,38.305818242521454,932.9215899416974,5145.489286986085,21.965695077786563,457.8698367569685,414.4897674066975,4475,200,46.00972865465872,1315,111.57565594366866,21.683755874071664,100,100,29.94787891101112,50.77941528314375,232.1239899357544,500,141.88463504940896,500,100,100,200,29.700932758807824,400,200,200,400,200,200,456.1769040219276,1441.4487799578087,515.289859286419,1126.1657827656811,605.9320502564328,2200.2554547656528,884.9377931102479,3839.53621911448,381.98576064399487,50,50,693.2257895927693,520.3276445190368,678.3287031294798,1280.8169496245844,916.4952188750952,551.5132161989125,208.40215901313948,211.1673777638813,69.85069128824209,115.43008499777496,50,50,110,3114.892433767363,3223.3042829984074,4644.915392437225,2952.4707541571806,2483.609412112881,1772.6418404962503,4618.989471640737,1706.4241073294745,4324.691770916916,4318.394653907819,656.7073608635304,918.0243096062588,621.6054065998168,1200.9213156783949,530.561821039784,1865.7654819610427,1296.5441901326603,200,649.6921194302295,350,500,100,100,150,613.9705822826376,100,200,1535.8789404964468,319.63645290011993,0,1215.8925582298264,1322.4036320874432,158.2300459657265,2292.790144742922,882.6311018175807,1392.4361403543303,748.2889499656112,1507.158102142674,793.3509569906751,2512.7050695591656,745.5165488297854,205.86331950527736,1080.1267664058248,5574.553520748083,1592.3675709097888,709.1514725624877,1373.7170619142732
gen=1900_restart=4,350.0847399164442,290.6878416604131,193.35615301668875,2300,251.5280187283417,50,846.7468736030972,50,608.9258608586083,170.0914313213885,138.1246082821263,50,358.56679437839654,725,725,106.47230448820795,680.8383628781361,0,445.32699074828736,50,214.53678599168984,50,363.66854276856407,790.7650760933246,727.5451846236493,751.9165483500713,1011.01389577823,616.2399387328771,644.88080547494,312.36560802193145,1149.2090512300024,274.7888066549678,130.75249674759243,842.9180552525218,4834.88125528552,110.82545931670148,478.11474622710045,662.3780419562436,4475,200,148.36521279238272,1315,278.6678247901524,143.97144963513156,100,100,100.21706314908828,178.689419858688,405.25225037254353,500,108.41806238154648,500,100,100,200,132.4638248198575,400,200,200,400,200,200,556.0319429329461,864.2355562988013,563.939931299998,314.967619976578,1020.5663516365252,2164.709127869652,1023.0367924162124,3962.0451160495127,587.5488307706564,50,50,409.0107986436527,431.36469000568246,592.2798949110388,1019.1403141855924,1608.490896918619,427.50429050336095,371.3975799355344,85.54870011328461,102.2713292413855,97.36180619113952,50,50,110,2210.9782424023174,1935.2574107404428,3793.3468125713257,1124.7762193293472,2253.8224596683203,2853.242239776757,4923.646196353273,2994.244443256055,4228.907868430961,5253.740677050248,510.44642496973006,1188.0511969000315,797.7963397594804,583.6367531038482,649.8347683722867,1114.108627218002,1416.7941102263455,200,1170.4592750858717,350,500,100,100,150,889.3714439124534,100,200,828.8860006602542,498.8206255246124,0,1200.2905557977758,1222.1212519797443,832.4324867692203,1889.177165493388,984.8867361869645,1170.5126036521478,679.5599807127294,1389.677785489218,719.0694351645648,3667.263953996885,857.30832177231,281.341705668108,1129.9310414374456,3652.9847705661455,1421.445136331052,668.275795682034,1331.8169513826067
gen=1900_restart=7,554.8207164211228,1263.2137485432104,1160.7742772299591,2300,392.1876115487958,50,721.6258020250318,50,829.7065314105158,499.4393658398613,564.5480453661874,50,793.7922028476311,725,725,797.6778190214828,725.7032150318099,0,962.123464865642,50,915.6772310584106,50,797.3744469475923,874.8142308110298,667.004264071996,1129.8775985643044,742.9790535649437,583.7313015383851,851.8493820473626,613.9930284587399,1206.3858798227427,472.4074179182917,662.2618059007548,807.3087789948837,2306.84086278608,696.8582396777883,601.464061658962,1523.7847518211413,4475,200,730.742237754222,1315,630.0742681004584,746.4764013840038,100,100,487.79634739711565,691.9454470323758,586.1219865922649,500,552.0689870575768,500,100,100,200,485.61790824851806,400,200,200,400,200,200,560.2122245212411,709.2894313121344,1617.155932086857,413.3181517233071,1188.9210073672568,1443.9919193132073,1162.1791825034204,2527.457098612916,665.9418077653025,50,50,955.5235548560285,602.9309101249322,686.9401690054256,1249.3552691430775,1299.911985140494,1193.625444050082,214.9078289596988,87.8309994606279,273.1391483701864,120.77368690236445,50,50,110,1674.6308252678436,2432.073146017626,3778.875364605335,1319.0428349661474,2017.2686421262824,2057.548592448981,4912.643085609911,3633.311286776569,4566.077135586192,4956.768075805693,754.2342244231025,1134.701093442944,935.4534742825008,993.1488673494258,706.1128839601778,848.3781645902548,1001.3151700558394,200,777.0762138262468,350,500,100,100,150,484.12836659354525,100,200,1001.1827931297876,1508.6982177406585,0,1057.8920576652397,844.9664386065824,2657.9036122095595,791.6438325828086,895.3286776446705,1121.2724656359712,511.7834712733183,1207.8055660087357,952.2103869725488,1829.1109727558608,605.7399581264968,287.7852499070316,784.2878197617749,1691.2943382686744,1492.3384953399136,467.5755459782872,1067.9253733190817
gen=1900_restart=16,91.86365936482775,28.351259568117367,24.717001589298377,2300,49.333134538252864,50,324.00099826421126,50,124.74194676289837,25.67245570513211,19.84523874077149,50,165.12622945794064,725,725,16.319195248682377,116.60307851300608,0,157.1470720090508,50,85.92946928364279,50,157.1893329410777,141.63880955267763,243.57415318574365,711.8691194564251,670.1735613923017,145.48210958585435,712.5216156412404,116.0140685173863,615.655962660775,97.72962391249352,34.490448045890325,627.544214679647,4920.119646483093,37.86456939830305,127.2323977373502,247.1403553445672,4475,200,37.0725966568798,1315,64.83112902050823,11.999895456073032,100,100,19.63946426745821,37.79474216307108,95.38398710299508,500,37.730632609224415,500,100,100,200,11.893717834733648,400,200,200,400,200,200,108.27464764313912,1522.0505374561108,749.6447065625576,257.9202479351132,1255.8481282073683,719.6409201087604,1234.4748343632032,1086.133653197557,1498.9960182920358,50,50,279.68754468268367,176.86241522739033,294.2599933398414,1620.965410262498,753.8424251184621,1259.4155626625743,322.93892744216083,386.1613331220648,43.57235815651703,58.000359274386,50,50,110,2624.442853925555,3002.313724518888,6475.250703436552,3700.897590047148,3809.1793957435216,782.1569684875534,4593.9424859626615,903.2572209092428,5446.247887063487,5768.157576721872,1634.154426652908,752.2385818984003,907.1567633395856,1329.3626536379663,1184.213833758512,1449.3339661017455,1040.2958001789364,200,687.9150874731746,350,500,100,100,150,1201.121898810256,100,200,1334.2578038084814,263.76643333470497,0,723.0126849494777,1440.446505532424,245.28610064319767,453.5808782496405,871.4516873953085,482.00776535044656,520.2362029663891,1462.341389674399,507.22799673967194,6848.591923810929,409.3733926530143,126.0096312433813,1287.6321087329625,6158.89836467595,1252.8153837734685,1159.5530582174465,1348.6500469482917
gen=1900_restart=22,250.71075092118824,146.88265564406606,33.65112207156432,2300,61.39735787928814,50,1356.909724321092,50,291.1957507801968,21.874220026283183,21.760883444713727,50,102.15612873271516,725,725,21.361766897964568,275.8302079521038,0,84.65186649745564,50,81.52321129406602,50,143.64660786055674,237.67431561331944,417.3105001487921,792.2256163361875,537.3099894394454,380.32472861645056,168.91729815196646,174.72772523519734,723.5513835166573,230.8535125612788,28.0369972669356,932.9870491700736,4935.663796589317,18.519932695488247,526.0585457954089,512.0040070760206,4475,200,43.93021663378886,1315,59.12789620817438,40.30499224180846,100,100,17.55353834985698,40.65541458780552,186.62125973356967,500,104.68869609037849,500,100,100,200,17.44836826958857,400,200,200,400,200,200,352.15130356560934,1477.798963909058,539.9204352662163,1166.0732525069325,685.1313535650272,2172.812296877521,858.9362039398823,3359.134019363325,575.8793978100086,50,50,773.9191977847119,516.4330154826358,595.0815349034139,1411.7593135155491,925.1248704655128,839.689248173275,195.99656123357045,125.38928363829484,62.436333467128605,117.8706671080412,50,50,110,4243.359816916824,3120.1715546727714,4605.827813588009,2978.0251959662446,2945.967523890077,1646.013820960184,4782.98699622121,2024.0542743584392,4590.445160935385,3772.4422736223455,712.2457911484083,785.3789902672931,797.7984439453886,1172.3645897036954,621.9666763470682,1684.506979841403,1160.8315291409483,200,419.25947953238216,350,500,100,100,150,718.2750145485677,100,200,1603.8462273573275,585.4143611150064,0,1123.89217381542,1327.7414452580688,165.4693033503322,1134.267970657436,843.093079521847,1437.6481983113313,378.4447637228584,1491.9822577754553,822.0699822338656,3347.563755832446,679.5629879491247,218.24585471309567,1045.00977073008,5504.915824708697,1655.1767475686515,621.4119167383353,1365.1892698828165
gen=1900_restart=40,114.4818080291252,53.14088725408385,35.79212009447769,2300,50.8601225832556,50,676.1242570184013,50,98.04144379571532,29.71962552783424,26.8521191068632,50,157.67346857080824,725,725,14.969076579405964,133.2905598359046,0,152.7024003103699,50,41.31208927139579,50,161.56220427373097,226.00318253266207,227.13533133679567,651.6083101095105,605.4103321391583,161.5919911052963,575.9406836116581,98.11714661371632,607.788167022017,52.045496510845446,33.43194374113091,849.3295260595598,4051.9677780818815,33.28285987820533,221.4207830596833,398.3819885995025,4475,200,26.789961184194794,1315,34.201942983013,25.68863289077518,100,100,21.766249480452927,16.037058972397688,160.85223525736933,500,45.20646647307689,500,100,100,200,18.905396928520982,400,200,200,400,200,200,194.62770427408057,1550.9300268191614,825.8144771796384,304.278527380486,931.6176655441984,1896.8049746633,1151.8439500304717,1853.1917919323664,1229.1975456027951,50,50,286.41017049052226,360.26581321229287,141.82175560304836,1610.9155733004154,760.6092578893923,1149.8120665566703,280.72505705373453,457.4209732308013,49.82440542842497,103.9544244741654,50,50,110,2646.2209342858328,2662.422311807626,6055.603654498953,3206.12693217492,4104.699925583916,1105.3892716791388,4840.071445652012,1258.279161182914,5421.626414624109,4960.550629810579,1804.663255249992,879.6360545758318,956.4009435700243,1068.713031770035,1038.6460492328592,1338.154674990603,1059.8594113547988,200,810.2468230808465,350,500,100,100,150,1184.2942516884982,100,200,1392.8324758583435,493.02769127229953,0,1304.706564088728,1386.2272907868944,403.677647722896,753.753140149459,795.9451468915652,388.36109284716736,465.911174514942,1402.0700298953973,546.7797604126797,6000.111665928007,555.3167846929902,194.37371383860503,1112.498484894477,6041.664304948565,1308.4937390379037,777.4027281614601,1330.993657837025
gen=1900_restart=44,110.55130732259306,52.15155956361764,29.093615396144173,2300,47.13245405528443,50,551.0663696350576,50,108.34040023642768,29.53375192255487,25.73901050640876,50,176.23881591593118,725,725,15.57347518004616,132.36144996865914,0,142.04715187022094,50,43.7741506051196,50,162.582850799468,226.63752029027484,235.99081468036337,662.9938680909953,592.081163241219,137.5718212890783,569.6096222938199,88.42082601994177,618.5983579604521,57.12245758981595,40.18596915507703,838.8554141296177,3947.967574504764,30.991094619008887,206.6878389353972,312.73988264380387,4475,200,26.976540851288632,1315,31.357010517547447,25.022962540416877,100,100,24.517423030763325,16.418250864998356,170.082225823729,500,39.11277450166756,500,100,100,200,17.783038371827217,400,200,200,400,200,200,216.5972916286654,1574.933658585138,814.395735291722,286.60146638034325,1003.230682787378,1596.5471851779937,1169.1738562231462,1762.2284102283093,1231.0066553932827,50,50,291.8368723734294,361.4828467934008,146.6005634368483,1617.1895762621148,728.1954126193393,1097.6914133495006,288.2260993281682,462.2239877725832,42.24199250884176,93.97586797982147,50,50,110,2545.785986447955,2535.551351835367,6400.675401160461,3434.451648852761,5034.924862465074,1081.3565818706777,4792.220076262734,1134.7199210566453,5549.91017553116,4502.191276834416,1624.308617989314,740.9682832091775,1008.9644311870164,1162.9999939285412,1011.621732598814,1361.1112331802,1055.9170600984469,200,772.2159770121358,350,500,100,100,150,1239.376522655128,100,200,1416.3510149377787,485.6551655147024,0,1226.9174606673048,1336.6963316462889,400.8314002213895,643.1889430884246,793.2657383986301,412.83101799907615,397.0209571973402,1450.6450332848926,525.769685446434,6291.259623009982,526.7285024154525,191.28790740973605,1152.2623634873837,6096.50478407414,1335.7581966364276,807.8429054731869,1325.406967055871
gen=1900_restart=45,143.0634300758527,70.2770197029721,37.45734265656358,2300,55.125273996632416,50,803.2755307162043,50,110.3095155977512,26.198808783972424,31.776617059844167,50,136.91724010687835,725,725,13.223176571832424,192.98910042802729,0,207.20031802839773,50,39.71525250613536,50,137.75974296514127,151.72109184875416,160.4572163677209,763.409454290789,777.1734171073479,153.3198149452674,612.7757709676187,128.70813687753656,871.9075355213382,75.84445789350741,27.513484904664608,869.584693615502,4200.354684143988,25.568396237333047,343.21766249746884,506.6336791386336,4475,200,45.84367538084615,1315,27.15505101395695,23.489398410315744,100,100,40.18662163901976,13.695199732185868,200.41857463249028,500,53.87128020494799,500,100,100,200,19.281901232131133,400,200,200,400,200,200,236.08062402470665,1552.005575287959,708.2988664204103,366.36377147306496,833.9684912049017,1461.1856257050608,741.9500396464612,2200.753771148098,1182.8291834667125,50,50,308.8786788310052,493.62611176530936,207.83378267666777,1623.2210636739767,841.923633765208,1053.928296517306,236.4238111998592,449.84318584642864,52.666337835078,99.35963817824899,50,50,110,2479.789490402544,2785.1653067824013,5479.891946812835,3260.143494491465,5678.149826443587,1198.470324536254,4673.15353080602,1254.8488728699945,5883.313242579152,3827.2608993426206,2283.0120780126126,579.0750217484772,984.0065585840327,1110.9184301568237,1187.4087296694092,1198.5873886115276,962.2141744573373,200,1019.7856006234064,350,500,100,100,150,1000.9358654254376,100,200,1374.725488986179,877.2430584741653,0,1253.2163411798988,1497.98630693898,379.6390683948373,668.6246528033231,772.0925838362203,504.0415632346909,399.16859940771394,1430.0962486772385,485.2717435839213,5102.2464923094985,551.0074411246617,202.410329095612,1112.6959058890743,5820.403821176768,1350.1080698240862,650.639116047093,1391.1649277077545
