parnme,partrans,parval1,parchglim,parlbnd,parubnd,pargp,scale,offset,dercom
M10,none,875,relative,0,1800,pumprates,1,0,1
M100,none,75,relative,0,1800,pumprates,1,0,1
M110,none,50,relative,0,1800,pumprates,1,0,1
M115,fixed,2300,relative,0,2300,pumprates,1,0,1
M120,none,50,relative,0,1800,pumprates,1,0,1
M130,fixed,50,relative,0,50,pumprates,1,0,1
M15,none,2425,relative,0,5500,pumprates,1,0,1
M182,fixed,50,relative,0,50,pumprates,1,0,1
M20,none,170,relative,0,1800,pumprates,1,0,1
M200,none,50,relative,0,1800,pumprates,1,0,1
M210,none,100,relative,0,1800,pumprates,1,0,1
M220,fixed,50,relative,0,50,pumprates,1,0,1
M27,none,150,relative,0,1800,pumprates,1,0,1
M295,fixed,725,relative,0,725,pumprates,1,0,1
M305,fixed,725,relative,0,725,pumprates,1,0,1
M310,none,50,relative,0,1800,pumprates,1,0,1
M34,none,405,relative,0,1800,pumprates,1,0,1
M345,fixed,0,relative,0,0,pumprates,1,0,1
M35,none,130,relative,0,1800,pumprates,1,0,1
M40,fixed,50,relative,0,50,pumprates,1,0,1
M410,none,100,relative,0,1800,pumprates,1,0,1
M50,fixed,50,relative,0,50,pumprates,1,0,1
M500,none,400,relative,0,1800,pumprates,1,0,1
M510,none,600,relative,0,1800,pumprates,1,0,1
M520,none,650,relative,0,1800,pumprates,1,0,1
M530,none,400,relative,0,1800,pumprates,1,0,1
M540,none,650,relative,0,1800,pumprates,1,0,1
M550,none,750,relative,0,1800,pumprates,1,0,1
M560,none,625,relative,0,1800,pumprates,1,0,1
M570,none,550,relative,0,1800,pumprates,1,0,1
M580,none,300,relative,0,1800,pumprates,1,0,1
M90,none,195,relative,0,1800,pumprates,1,0,1
W10,none,150,relative,0,1800,pumprates,1,0,1
W15,none,1695,relative,0,5500,pumprates,1,0,1
W17,none,3950,relative,0,7300,pumprates,1,0,1
W20,none,350,relative,0,1800,pumprates,1,0,1
W25,none,1075,relative,0,5500,pumprates,1,0,1
W255,none,700,relative,0,5500,pumprates,1,0,1
W257,fixed,4475,relative,0,4475,pumprates,1,0,1
W260,fixed,200,relative,0,200,pumprates,1,0,1
W270,none,150,relative,0,1800,pumprates,1,0,1
W275,fixed,1315,relative,0,1315,pumprates,1,0,1
W280,none,100,relative,0,1800,pumprates,1,0,1
W30,none,95,relative,0,1800,pumprates,1,0,1
W310,fixed,100,relative,0,100,pumprates,1,0,1
W320,fixed,100,relative,0,100,pumprates,1,0,1
W40,none,475,relative,0,1800,pumprates,1,0,1
W50,none,300,relative,0,1800,pumprates,1,0,1
