real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
gen=0_training=0,-2.32511,8.58335,7.74841,1.88202,1.55014,-2.26939,-0.681316,5.09725,-2.10703,-3.23562,3.79494,5.77081,-2.92705,8.27524,5.36929,-4.93683,6.22829,6.37203,5.78408,6.38993,5.17803,-1.75303,-4.74858,1.46588,-3.56749,0.963486,4.40822,8.00581,2.57943,7.83672,-4.69754,-0.831905,1.93977,5.96674,6.32953,6.9468,6.41814,-4.76067,-4.08234,5.07401,7.18462,6.32485,0.614832,3.55009,3.28723,8.95196,6.21824,8.51445,9.18744,-3.40685
gen=0_training=1,5.32569,9.63707,-4.20398,5.63665,9.28083,-4.3641,6.51751,-3.18464,9.36235,-4.53914,3.16356,2.5181,-1.21541,9.12854,-4.07963,-3.57385,4.71959,5.94125,7.06936,3.77663,-3.41614,5.6989,4.79896,5.40171,-4.34402,7.42556,8.40728,4.84268,4.23461,-4.49454,-4.46574,4.75025,3.17541,4.45373,8.68271,-0.96615,5.84252,-3.87248,6.89327,4.344,-2.36165,-3.38268,-4.96822,2.13625,9.19121,7.52565,-4.92779,-4.71643,-2.67058,1.24866
gen=0_training=2,6.04073,-4.63048,-2.30654,-0.654188,9.02243,-1.5431,-0.0492035,4.54879,8.61835,2.69044,6.25193,7.78173,5.23259,3.54702,0.532514,2.26832,-3.95023,6.50461,-4.64007,9.64764,9.88774,0.293088,9.48219,4.33785,9.24081,1.08038,-3.95643,8.54841,8.76385,3.65444,-0.294707,-1.32408,-3.74522,1.5663,7.014,1.682,5.50067,-2.61993,-2.69185,6.53856,1.08454,9.4406,0.346506,-0.611937,3.06079,2.43537,7.41033,2.82473,2.98903,-4.50982
gen=0_training=3,-3.65545,2.90198,5.83317,4.63571,7.66065,2.64054,1.0228,-4.60679,-1.15228,9.91926,3.33284,4.23006,6.40688,6.77577,-1.32977,0.516,8.42609,4.52555,-1.50893,-2.55355,7.41378,8.47036,6.19097,1.73322,7.19385,6.17725,-3.61078,4.21241,-0.452575,6.18043,9.91376,2.23181,-3.04718,8.65884,-0.649795,-1.54949,-2.05017,8.66978,2.73424,-2.10346,-2.94538,-0.531484,4.9259,-2.57041,3.11215,-2.95424,1.37807,8.0153,1.46103,3.69537
gen=0_training=4,-4.91768,6.56872,-1.78146,1.73309,9.48032,9.05591,4.73275,1.09695,7.42721,1.12057,7.83877,7.18845,8.18216,2.33523,0.899864,3.19172,7.71509,1.45837,2.49084,1.85484,-3.81105,-3.6553,-2.6612,-2.00266,-4.5784,4.78768,0.0266467,1.82431,-3.45228,4.76466,1.78149,5.52471,9.29963,-3.18151,5.8673,6.42558,1.90357,6.15395,6.63837,-3.54106,-4.98709,4.48736,-4.48757,1.54653,3.41172,0.232365,7.59795,-0.43376,3.3765,2.59685
gen=0_training=5,-4.03436,-2.63737,1.77391,-0.881771,6.16389,5.9857,-4.0475,-2.15736,0.159435,0.309209,-4.56528,8.41275,8.58854,-4.93054,8.48216,-2.77896,-1.90663,8.39619,6.03379,0.393853,3.34248,-1.43486,-0.326662,5.96655,0.442788,4.98104,-3.671,7.60568,9.13827,6.27172,-1.43282,-4.25734,-0.515332,8.5089,3.05227,7.85993,-3.74863,3.24892,6.79785,8.10483,-2.81516,8.69772,7.8173,-3.17373,0.678191,9.35211,8.04036,-1.18128,9.59439,-0.412352
gen=0_training=6,0.102818,-1.63218,2.10977,3.56596,7.90976,9.14784,8.92777,8.55074,1.59998,4.06315,4.68671,7.46533,4.5049,-1.61858,-0.0841907,4.86622,6.83839,6.79444,-0.449818,2.8316,-0.795515,2.8119,8.74867,-3.27038,-1.93202,8.33908,8.6811,-4.57906,1.35723,-2.27707,-3.4907,1.28304,8.48168,-1.67558,4.39371,-2.71835,2.10802,2.6724,8.33261,3.36175,-4.78365,4.76847,-0.95857,4.88936,-1.32266,-1.46078,-1.77144,8.10863,-4.9498,-2.30884
gen=0_training=7,7.78981,-3.20114,-0.386483,-0.249907,0.874059,3.3246,4.76504,-0.458251,3.10977,5.55786,6.54213,-4.43659,7.96423,-2.70152,9.30296,7.90162,2.0094,5.63195,8.73494,4.35884,-1.16695,1.6405,4.53871,2.89735,-4.20263,3.58469,-1.61853,3.55961,4.51038,0.143204,3.63586,-2.83855,4.18777,2.56872,-1.9943,9.64605,1.30807,3.89083,4.63075,6.70928,3.99245,7.68972,-0.573996,-4.64997,0.431344,-2.18453,6.92615,-1.46188,-2.50795,8.44272
gen=0_training=8,7.68499,-2.77036,1.58633,0.19729,5.90833,-2.93589,-1.85462,5.66468,6.85667,2.25152,7.93276,9.57681,-3.41066,-3.20076,7.9533,0.368883,7.90614,0.585694,-3.41443,7.75091,5.38104,3.79345,1.78321,-2.9083,6.43216,-0.19824,-2.29219,9.71952,-1.77918,2.80435,-1.77814,-2.14123,7.66007,3.39088,8.94504,0.466625,5.07736,-4.65656,7.04888,2.70166,9.948,1.7868,8.04534,-3.73476,-4.93126,-3.72075,6.42902,-3.10747,3.89231,3.75089
gen=0_training=9,4.80531,7.56239,-2.0144,-3.11629,2.3881,6.50912,8.20527,9.52354,8.69543,0.511569,9.7313,-3.7591,6.33093,9.39858,1.29213,7.3389,-2.87951,5.27128,-1.99286,-1.84353,5.61193,5.06316,9.09532,5.57772,9.70054,-4.86401,9.81355,-2.21605,7.58263,-3.05887,-2.00267,6.2304,5.70602,4.09173,-3.89223,0.980377,3.79629,-4.09716,2.61143,7.91806,5.50692,8.98428,2.14879,2.27797,-1.6935,0.690253,9.0412,9.50526,-2.81753,8.82118
gen=0_training=10,6.86781,3.99362,-2.85836,2.11066,-2.10389,3.21223,1.85373,4.93699,6.483,5.66024,4.56524,-3.64368,7.42716,-2.46299,8.24509,6.0534,8.61129,8.2905,9.6893,1.00664,6.17897,8.57202,1.00657,1.39647,6.94012,1.68946,2.02945,5.37859,-3.76143,2.38015,8.30593,7.00231,4.88945,7.05856,3.9731,3.38186,4.1826,6.67429,-3.46322,-4.91614,-0.0610618,5.90949,3.04218,-0.965024,-4.40298,-4.89509,2.42526,1.27513,-0.254692,8.19531
